continent,country,iso,total_deaths,total_affected,total_damages,total_occurrences,gdp_per_capita,total_co2,co2_per_cap,population,country_x,country_y,standardized,gni_per_capita,bins
Asia,Armenia,ARM,5,420330,203275,11,4220.540321,5710.000038,1.934451579,2951741,Armenia,Armenia,Armenia,4240,Upper-Middle Income
Asia,Azerbaijan,AZE,68,2575271,211200,15,4739.84171,32729.99954,3.292832354,9939771,Azerbaijan,Azerbaijan,Azerbaijan,4080,Upper-Middle Income
Asia,Bahrain,BHR,111,0,0,1,24086.30169,30809.99947,19.63120569,1569440,Bahrain,Bahrain,Bahrain,22000,High-Income
Asia,Bangladesh,BGD,634392,471530136,21893565,342,1991.483267,83449.99695,0.517113005,161376713,Bangladesh,Bangladesh,Bangladesh,2040,Lower-Middle Income
Asia,Bhutan,BTN,314,87871,3500,12,3243.477437,1049.999952,1.391841887,754396,Bhutan,Bhutan,Bhutan,2970,Lower-Middle Income
Asia,Brunei Darussalam,BRN,0,0,2000,1,31628.47626,7539.999962,17.5773964,428960,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,29390,High-Income
Asia,Cambodia,KHM,2530,24163819,1659110,46,1512.126989,14579.99992,0.897242084,16249795,Cambodia,Cambodia,Cambodia,1380,Lower-Middle Income
Asia,China,CHN,2506289,3283546568,613469613,940,9905.342004,10502929.69,7.487331894,1402760000,China,China,China,9540,Upper-Middle Income
Asia,Cyprus,CYP,110,8535,61440,15,29334.11133,7199.999809,6.054174614,1189262,Cyprus,Cyprus,Cyprus,27330,High-Income
Asia,Georgia,GEO,76,906302,700856,27,4722.042423,9569.999695,2.568059536,3726549,Georgia,Georgia,Georgia,4460,Upper-Middle Income
Asia,Hong Kong,HKG,1477,147088,1315943,103,48537.56689,,,7452600,"Hong Kong SAR, China","Hong Kong SAR, China",Hong Kong,50050,High-Income
Asia,India,IND,1733196,2481031102,145303486,733,1998.259076,2451929.932,1.8126965,1352642283,India,India,India,2010,Lower-Middle Income
